"tipo","codigo","descricao","credito","parcela_01_12","demais_parcelas","parcela_pf","parcela_pj","redutor","prazo","taxa_adm","adesao","fundo_reserva","seguro","reajuste","sorteio","lance_fixo","lance_embutido","grupo","status","pontos_livelo","imagem"
"Imovel","O7 IMOVEL PLANO FLEX MEDIO XO7X","IMOVEL FLEX","200000","1255,8","922,4",,,"25","200","23","2","2","Não possui","A média entre IPCA e INCC","1 por mês","40%","30%","1033","Em formação","43953","https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaimovelporto.png"
"Imovel","O8 IMOVEL PLANO FLEX MEDIO XO8X","IMOVEL FLEX","210000","1318,59","968,52",,,"25","200","23","2","2","Não possui","A média entre IPCA e INCC","1 por mês","40%","30%","1033","Em formação","46151","https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaimovelporto.png"
"Imovel","O9 IMOVEL PLANO FLEX MEDIO XO9X","IMOVEL FLEX","220000","1381,38","1014,64",,,"25","200","23","2","2","Não possui","A média entre IPCA e INCC","1 por mês","40%","30%","1033","Em formação","48348","https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaimovelporto.png"
"Imovel","O10 IMOVEL PLANO FLEX MEDIO XO10X","IMOVEL FLEX","230000","1444,17","1060,76",,,"25","200","23","2","2","Não possui","A média entre IPCA e INCC","1 por mês","40%","30%","1033","Em formação","50546","https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaimovelporto.png"
"Imovel","O11 IMOVEL PLANO FLEX MEDIO XO11X","IMOVEL FLEX","240000","1506,96","1106,88",,,"25","200","23","2","2","Não possui","A média entre IPCA e INCC","1 por mês","40%","30%","1033","Em formação","52744","https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaimovelporto.png"
"Imovel","O12 IMOVEL PLANO FLEX MEDIO XO12X","IMOVEL FLEX","250000","1569,75","1153",,,"25","200","23","2","2","Não possui","A média entre IPCA e INCC","1 por mês","40%","30%","1033","Em formação","54941","https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaimovelporto.png"
"Imovel","O13 IMOVEL PLANO FLEX MEDIO XO13X","IMOVEL FLEX","260000","1632,54","1199,12",,,"25","200","23","2","2","Não possui","A média entre IPCA e INCC","1 por mês","40%","30%","1033","Em formação","57139","https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaimovelporto.png"
"Imovel","O14 IMOVEL PLANO FLEX MEDIO XO14X","IMOVEL FLEX","270000","1695,33","1245,24",,,"25","200","23","2","2","Não possui","A média entre IPCA e INCC","1 por mês","40%","30%","1033","Em formação","59337","https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaimovelporto.png"
"Imovel","O15 IMOVEL PLANO FLEX MEDIO XO15X","IMOVEL FLEX","280000","1758,12","1291,36",,,"25","200","23","2","2","Não possui","A média entre IPCA e INCC","1 por mês","40%","30%","1033","Em formação","61534","https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaimovelporto.png"
"Imovel","M01 IMOVEL PLANO FLEX M01","IMOVEL FLEX","280000","1737,12","1270,36",,,"25","200","21","2","2","Não possui","A média entre IPCA e INCC","1 por mês","40%","30%","1034","Em formação","60799","https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaimovelporto.png"
