Codigo,Descricao,Credito,Parcela PF,Parcela PJ,Redutor,Prazo,Taxa Adm,Fundo de Reserva,Seguro de Vida,Sorteio,Lance Fixo,Lance Embutiro,Lance Livre,Plano,Status,Pontos Livelo,Credito Texto,Parcela PF Texto,Prazo Texto,CTA,Imagem,Reajuste anual
AFCA06,AUTOMOVEL FLEX CREDITO ALTO AFCA06,"$82500,00","$973,42","$973,42",20%,80,16%,2%,Não possui ,1 por mês,Não possui ,15%,Todas que o saldo do grupo permitir ,997,Em formação ,17522,"Crédito: R$82.500,00"," R$ 973,42 ",Prazo: 80 meses,Contratar,https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaautoporto.png,IPCA
AFCA07,AUTOMOVEL FLEX CREDITO ALTO AFCA07,"$87500,00","$1032,42","$1032,42",20%,80,16%,2%,Não possui ,1 por mês,Não possui ,15%,Todas que o saldo do grupo permitir ,997,Em formação ,18584,"Crédito: R$87.500,00"," R$ 1.032,42 ",Prazo: 80 meses,Contratar,https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaautoporto.png,IPCA
AFCA08,AUTOMOVEL FLEX CREDITO ALTO AFCA08,"$92500,00","$1091,41","$1091,41",20%,80,16%,2%,Não possui ,1 por mês,Não possui ,15%,Todas que o saldo do grupo permitir ,997,Em formação ,19645,"Crédito: R$92.500,00"," R$ 1.091,41 ",Prazo: 80 meses,Contratar,https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaautoporto.png,IPCA
AFCA09,AUTOMOVEL FLEX CREDITO ALTO AFCA09,"$97500,00","$1150,41","$1150,41",20%,80,16%,2%,Não possui ,1 por mês,Não possui ,15%,Todas que o saldo do grupo permitir ,997,Em formação ,20707,"Crédito: R$97.500,00"," R$ 1.150,41 ",Prazo: 80 meses,Contratar,https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaautoporto.png,IPCA
AFCA010,AUTOMOVEL FLEX CREDITO ALTO AFCA10,"$102500,00","$1209,40","$1209,40",20%,80,16%,2%,Não possui ,1 por mês,Não possui ,15%,Todas que o saldo do grupo permitir ,997,Em formação ,21769,"Crédito: R$102.500,00"," R$ 1.209,40 ",Prazo: 80 meses,Contratar,https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaautoporto.png,IPCA
AFCA11,AUTOMOVEL FLEX CREDITO ALTO AFCA11,"$107500,00","$1268,40","$1268,40",20%,80,16%,2%,Não possui ,1 por mês,Não possui ,15%,Todas que o saldo do grupo permitir ,997,Em formação ,22831,"Crédito: R$107.500,00"," R$ 1.268,40 ",Prazo: 80 meses,Contratar,https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaautoporto.png,IPCA
AFCA12,AUTOMOVEL FLEX CREDITO ALTO AFCA12,"$112500,00","$1327,39","$1327,39",20%,80,16%,2%,Não possui ,1 por mês,Não possui ,15%,Todas que o saldo do grupo permitir ,997,Em formação ,23893,"Crédito: R$112.500,00"," R$ 1.327,39 ",Prazo: 80 meses,Contratar,https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaautoporto.png,IPCA
AFCA13,AUTOMOVEL FLEX CREDITO ALTO AFCA13,"$117500,00","$1386,39","$1386,39",20%,80,16%,2%,Não possui ,1 por mês,Não possui ,15%,Todas que o saldo do grupo permitir ,997,Em formação ,24955,"Crédito: R$117.500,00"," R$ 1.386,39 ",Prazo: 80 meses,Contratar,https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaautoporto.png,IPCA
AFCA14,AUTOMOVEL FLEX CREDITO ALTO AFCA14,"$122500,00","$1445,38","$1445,38",20%,80,16%,2%,Não possui ,1 por mês,Não possui ,15%,Todas que o saldo do grupo permitir ,997,Em formação ,26017,"Crédito: R$122.500,00"," R$ 1.445,38 ",Prazo: 80 meses,Contratar,https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaautoporto.png,IPCA
AFCA15,AUTOMOVEL FLEX CREDITO ALTO AFCA15,"$125000,00","$1474,88","$1474,88",20%,80,16%,2%,Não possui ,1 por mês,Não possui ,15%,Todas que o saldo do grupo permitir ,997,Em formação ,26548,"Crédito: R$125.000,00"," R$ 1.474,88 ",Prazo: 80 meses,Contratar,https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaautoporto.png,IPCA
