Codigo,Descricao,Credito,Parcelas de 01 a 12,Demais parcelas,Redutor,Prazo ,Taxa Adm ,Taxa de Adesão ,Fundo de Reserva,Seguro de vida,Reajuste anual ,Sorteio ,Lance fixo ,Lance Embutido ,Lance Livre ,Plano,Status ,Pontos Livero,Credito Texto,Parcelas 01 a 12 Texto,Demais Parcelas Texto,Prazo Texto,CTA,Imagem,Parcelas Todas Texto
M19 IMOVEL PLANO FLEX M19,IMOVEL FLEX,"460000,00",2853.84,"2087,02",25%,200,21%,2%,2%,Não possui ,A média entre IPCA e INCC,1 por mês ,40%,30%,Todas que o saldo do grupo permitir ,1034,Em formação ,99884,"Crédito: R$460.000,00","Parcela de 01 a 12: R$2.853,84","Demais parcelas: R$2.087,02",Prazo: 200 meses,Contratar,https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaimovelporto.png,"Parcela de 01 a 12:   R$ 2.853,84   / Demais parcelas:   R$ 2.087,02 
 
"
M20 IMOVEL PLANO FLEX M20,IMOVEL FLEX,"470000,00",2915.88,"2132,39",25%,200,21%,2%,2%,Não possui ,A média entre IPCA e INCC,1 por mês ,40%,30%,Todas que o saldo do grupo permitir ,1034,Em formação ,102056,"Crédito: R$470.000,00","Parcela de 01 a 12: R$2.915,88","Demais parcelas: R$2.132,39",Prazo: 200 meses,Contratar,https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaimovelporto.png,"Parcela de 01 a 12:   R$ 2.915,88   / Demais parcelas:   R$ 2.132,39 
 
"
M21 IMOVEL PLANO FLEX M21,IMOVEL FLEX,"480000,00",2977.92,"2177,76",25%,200,21%,2%,2%,Não possui ,A média entre IPCA e INCC,1 por mês ,40%,30%,Todas que o saldo do grupo permitir ,1034,Em formação ,104227,"Crédito: R$480.000,00","Parcela de 01 a 12: R$2.977,92","Demais parcelas: R$2.177,76",Prazo: 200 meses,Contratar,https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaimovelporto.png,"Parcela de 01 a 12:   R$ 2.977,92   / Demais parcelas:   R$ 2.177,76 
 
"
M23 IMOVEL PLANO FLEX M23,IMOVEL FLEX,"500000,00",3102.00,"2268,50",25%,200,21%,2%,2%,Não possui ,A média entre IPCA e INCC,1 por mês ,40%,30%,Todas que o saldo do grupo permitir ,1034,Em formação ,108570,"Crédito: R$500.000,00","Parcela de 01 a 12: R$3.102,00","Demais parcelas: R$2.268,50",Prazo: 200 meses,Contratar,https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaimovelporto.png,"Parcela de 01 a 12:  R$  R$ 3.102,00   / Demais parcelas:  R$ 2.268,50  
"
M24 IMOVEL PLANO FLEX M24,IMOVEL FLEX,"510000,00",3164.04,"2313,87",25%,200,21%,2%,2%,Não possui ,A média entre IPCA e INCC,1 por mês ,40%,30%,Todas que o saldo do grupo permitir ,1034,Em formação ,110741,"Crédito: R$510.000,00","Parcela de 01 a 12: R$3.164,04","Demais parcelas: R$2.313,87",Prazo: 200 meses,Contratar,https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaimovelporto.png,"Parcela de 01 a 12:  R$ 3.164,04  / Demais parcelas:   R$ 2.313,87 
 
"
M25 IMOVEL PLANO FLEX M25,IMOVEL FLEX,"520000,00",3226.08,"2359,24",25%,200,21%,2%,2%,Não possui ,A média entre IPCA e INCC,1 por mês ,40%,30%,Todas que o saldo do grupo permitir ,1034,Em formação ,112913,"Crédito: R$520.000,00","Parcela de 01 a 12: R$3.226,08","Demais parcelas: R$2.359,24",Prazo: 200 meses,Contratar,https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaimovelporto.png,"Parcela de 01 a 12:   R$ 3.226,08  / Demais parcelas:   R$ 2.359,24 
 
"
M26 IMOVEL PLANO FLEX M26,IMOVEL FLEX,"530000,00",3288.12,"2404,61",25%,200,21%,2%,2%,Não possui ,A média entre IPCA e INCC,1 por mês ,40%,30%,Todas que o saldo do grupo permitir ,1034,Em formação ,115084,"Crédito: R$530.000,00","Parcela de 01 a 12: R$3.288,12","Demais parcelas: R$2.404,61",Prazo: 200 meses,Contratar,https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaimovelporto.png,"Parcela de 01 a 12:   R$ 3.288,12   / Demais parcelas:   R$ 2.404,61 
 
"
M27 IMOVEL PLANO FLEX M27,IMOVEL FLEX,"540000,00",3350.16,"2449,98",25%,200,21%,2%,2%,Não possui ,A média entre IPCA e INCC,1 por mês ,40%,30%,Todas que o saldo do grupo permitir ,1034,Em formação ,117256,"Crédito: R$540.000,00","Parcela de 01 a 12: R$3.350,16","Demais parcelas: R$2.449,98",Prazo: 200 meses,Contratar,https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaimovelporto.png,"Parcela de 01 a 12:  R$ 3.350,16   / Demais parcelas:   R$ 2.449,98 
 
"
M28 IMOVEL PLANO FLEX M28,IMOVEL FLEX,"550000,00",3412.20,"2495,35",25%,200,21%,2%,2%,Não possui ,A média entre IPCA e INCC,1 por mês ,40%,30%,Todas que o saldo do grupo permitir ,1034,Em formação ,119427,"Crédito: R$550.000,00","Parcela de 01 a 12: R$3.412,20","Demais parcelas: R$2.495,35",Prazo: 200 meses,Contratar,https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaimovelporto.png,"Parcela de 01 a 12:   R$ 3.412,20   / Demais parcelas:   R$ 2.495,35 
 
"
M29 IMOVEL PLANO FLEX M29,IMOVEL FLEX,"560000,00",3474.24,"2540,72",25%,200,21%,2%,2%,Não possui ,A média entre IPCA e INCC,1 por mês ,40%,30%,Todas que o saldo do grupo permitir ,1034,Em formação ,121598,"Crédito: R$560.000,00","Parcela de 01 a 12: R$3.474,24","Demais parcelas: R$2.540,72",Prazo: 200 meses,Contratar,https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaimovelporto.png,"Parcela de 01 a 12:   R$ 3.474,24  / Demais parcelas:   R$ 2.540,72 

"
